id,company_name,promoter_name,gstin,pan,state,sector,annual_turnover_inr,annual_turnover_lakhs,net_profit_inr,profit_margin_pct,total_assets_inr,total_liabilities_inr,net_worth_inr,existing_loans_inr,collateral_value_inr,loan_requested_inr,loan_requested_lakhs,debt_equity_ratio,dscr,collateral_coverage,existing_loan_burden,business_vintage_years,employee_count,gst_filing_months,nil_filing_months,bank_gst_mismatch_pct,itc_ratio_pct,cibil_score,litigation_flag,promoter_risk_flag,ai_credit_score,risk_category,recommendation,default_flag
1,Iyer & Shah Associates Pvt Ltd,Manish Iyer,27XXXPC7912B1Z5,XXXPC7912B,Maharashtra,Manufacturing,29345108,293.5,4507199,15.36,14814536,6943704,7870832,4968589,5098944,5531258,55.3,0.88,7.86,0.92,0.17,11,53,8,4,28.25,26.51,736,1,1,74.6,MEDIUM,APPROVE WITH CONDITIONS,0
2,Paresh Works Pvt Ltd,Ganesh Reddy,27LLLTI1711X2ZY,LLLTI1711X,Maharashtra,Pharmaceuticals,17024258,170.2,1642324,9.65,6080890,4502903,1577987,3560110,6947978,9319175,93.2,2.85,1.91,0.75,0.21,25,64,9,3,6.99,8.39,593,1,1,67.4,MEDIUM,APPROVE WITH CONDITIONS,0
3,Arjun Products Ltd,Sunita Iyer,06GGGEI2169T3ZA,GGGEI2169T,Haryana,Manufacturing,6004680,60.0,904794,15.07,1902184,1005597,896587,579953,1432442,2878324,28.8,1.12,3.41,0.5,0.1,17,275,6,6,39.08,43.77,773,0,0,100.0,LOW,APPROVE,0
4,Vikram Nair Suppliers & Co,Kapil Kumar,24PPPLU8517E2Z8,PPPLU8517E,Gujarat,Manufacturing,66195213,662.0,5308415,8.02,27204259,9184697,18019562,3884922,10549163,10331566,103.3,0.51,5.57,1.02,0.06,1,5,12,0,20.39,19.67,878,0,0,94.1,LOW,APPROVE,0
5,Kumar Trading Co Pvt Ltd,Kapil Sinha,29RRRAV2876V3ZH,RRRAV2876V,Karnataka,IT/ITES,15439229,154.4,4604824,29.83,12502784,5168693,7334091,2067653,2677682,9238745,92.4,0.7,5.4,0.29,0.13,25,28,9,3,13.4,22.22,552,0,0,100.0,LOW,APPROVE,0
6,Verma Traders,Harish Khanna,24ZZZGH1949H3Z5,ZZZGH1949H,Gujarat,Pharmaceuticals,24919365,249.2,2947542,11.83,14435808,11013071,3422737,7908765,14789146,9613594,96.1,3.22,3.23,1.54,0.32,14,11,9,3,26.21,33.53,630,1,0,76.7,LOW,APPROVE WITH CONDITIONS,0
7,Sharma Solutions Ltd,Ritu Rao,09AAATR4770S1Z0,AAATR4770S,Uttar Pradesh,Chemicals,27978925,279.8,4416642,15.79,10141033,7667309,2473724,2438708,6338991,7669393,76.7,3.1,6.24,0.83,0.09,8,56,10,2,31.89,31.55,621,0,1,82.6,LOW,APPROVE,0
8,Naresh Rao Manufacturers Pvt Ltd,Ramesh Shah,33OOOAV2612B2ZL,OOOAV2612B,Tamil Nadu,Retail,10328650,103.3,217602,2.11,4471573,1972476,2499097,1278567,2092796,4509976,45.1,0.79,0.52,0.46,0.12,7,39,11,1,53.55,13.33,684,0,0,56.7,MEDIUM,CONDITIONAL APPROVAL,0
9,Gupta & Joshi Industries Pvt Ltd,Vikas Gupta,24BBBCM1035M2ZT,BBBCM1035M,Gujarat,Manufacturing,30782209,307.8,4741424,15.4,28806032,17664235,11141797,6362784,8912666,6532563,65.3,1.59,6.46,1.36,0.21,22,14,12,0,22.72,4.46,644,0,0,100.0,LOW,APPROVE,0
10,Joshi Technologies Ltd,Harish Kapoor,27MMMBS5033S3Z2,MMMBS5033S,Maharashtra,Logistics,16448987,164.5,1595980,9.7,7038442,6270314,768128,2138691,5262364,10610817,106.1,8.16,1.63,0.5,0.13,22,34,10,2,22.3,11.58,701,1,0,38.7,HIGH,HIGH RISK — COLLATERAL REQUIRED,1
11,Vikram Sinha Exports Pvt Ltd,Sunil Nair,24RRRFQ5345E2Z4,RRRFQ5345E,Gujarat,Chemicals,9087745,90.9,-167020,-1.84,7693405,4436702,3256704,1530203,977509,2485967,24.9,1.36,0.3,0.39,0.17,29,11,6,6,34.88,6.26,608,0,1,45.3,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
12,Nair & Kumar Suppliers LLP,Rajesh Modi,27KKKFV5325Q2ZG,KKKFV5325Q,Maharashtra,Manufacturing,17970259,179.7,2128212,11.84,9357173,5017022,4340152,4181445,2993796,8738956,87.4,1.16,2.64,0.34,0.23,29,37,9,3,14.74,22.11,644,0,0,100.0,LOW,APPROVE,0
13,Deshpande Associates & Co,Anita Patel,24EEEAJ6974Z1ZM,EEEAJ6974Z,Gujarat,Manufacturing,6975159,69.8,1053412,15.1,2272094,1160391,1111702,573676,599378,3768419,37.7,1.04,3.03,0.16,0.08,14,39,7,5,16.97,5.96,471,0,0,99.1,LOW,APPROVE,0
14,Arjun Mishra Solutions LLP,Mohan Deshpande,36HHHGF2771M1ZU,HHHGF2771M,Telangana,Pharmaceuticals,25772664,257.7,1941051,7.53,15277235,7947111,7330124,3142594,6594379,8325855,83.3,1.08,2.53,0.79,0.12,16,50,12,0,27.86,17.24,621,0,0,94.0,LOW,APPROVE,0
15,Modi Brothers & Co,Paresh Chopra,33IIICS5349B1ZR,IIICS5349B,Tamil Nadu,Logistics,16358554,163.6,682314,4.17,7740262,6034426,1705836,2046824,1080415,10277273,102.8,3.54,0.72,0.11,0.13,21,31,11,1,10.91,9.22,567,0,1,59.9,MEDIUM,CONDITIONAL APPROVAL,0
16,Deepak Works & Co,Kiran Tiwari,03QQQGV7691K2ZI,QQQGV7691K,Punjab,Manufacturing,22228018,222.3,727364,3.27,7103210,2342346,4760863,982532,802722,10703257,107.0,0.49,0.74,0.07,0.04,16,67,3,9,15.51,16.49,708,1,0,50.9,HIGH,CONDITIONAL APPROVAL,0
17,Rao & Tandon Works Pvt Ltd,Anita Mishra,36ZZZCV2389J3ZL,ZZZCV2389J,Telangana,IT/ITES,3214491,32.1,665565,20.71,1881318,1263953,617365,854514,1498598,2058105,20.6,2.05,3.5,0.73,0.27,18,24,7,5,12.4,21.61,567,0,0,100.0,LOW,APPROVE,0
18,Joshi & Sethi Works,Pooja Kumar,33YYYBY7965H1ZX,YYYBY7965H,Tamil Nadu,IT/ITES,6970080,69.7,846612,12.15,3657137,2964027,693110,1201004,2295944,2563266,25.6,4.28,3.58,0.9,0.17,16,13,10,2,21.09,14.79,509,0,0,87.1,LOW,APPROVE,0
